지역,기간,농도
서울,2020-06-22,39
경기,2020-06-22,45
인천,2020-06-22,35
서울,2020-06-23,42
경기,2020-06-23,50
인천,2020-06-23,33
서울,2020-06-24,28
경기,2020-06-24,31
인천,2020-06-24,27
